texto_review,sentimento_real,sentimento_previsto
"O produto estava anunciado no site, mas não tinha no estoque. O dinheiro foi estornado para o meu cartão. Transtorno leve.",0,0
Tudo maravilhoso! Atendimento 10,1,1
"Compro há anos e nunca tive problemas.
Eu recomendo...Pena que esse produto aumentou bastante.No mais,sem reclamações.",1,1
Chegou em ótimo estado .,1,1
Recebi antes do prqzo,1,1
"Otima qualidade e entrega antes do esperado, recomendo!!!",1,1
"O produto na venda era uma imagem clara e bonita, quando chegou e totalmente preto e quase não da para ver a imagem .",0,0
A foto da placa com a imagem ao redor dá para entender que era grande,1,1
"Recebi pulseira árvore dá vida vendida por Coçar Brasil com total defeito, sem galhos ,com furos , círculo amassado 
Já reclamei muito e não há qualquer resposta
Peço a troca pelo que foi divulgad",0,0
prouto esperado dentro do prazo,1,1
Quando fui colocar a lâmpada quebrou o parafuso dai colei . ,0,1
"Já foi cobrado no meu cartão de crédito mas até o momento, não entregaram os produtos e agora? ",0,0
Recomendo o produto e o atendimento.,1,1
O produto foi entregue correto e até uns dias antes do prazo.,1,1
Entrega dentro do prazo,1,1
Produto entregue sem problemas.,1,1
"Produto correto e dentro do prazo!
Excelente",1,1
Perfeitas amei! Muito rapida entrega,1,1
"Já é o segundo email me perguntando se recebi o produto, uma vergonha, pois vcs nem sabem se entregaram.

Não recebi nada e nem me contacataram para falar o motivo, apesar de eu ter reclamado divers",0,0
"Bom produto e entrega!
",1,1
Até agora eles só emitiram a nota fiscal e nada do meu produto chegar. Pedi em novembro.,0,0
lannister ajudou muito pelo preocupação.,1,1
"recebi o produto antes mesmo do prazo, porem o mesmo não funciona.",0,1
Muito bom produto vale a pena ,1,1
"É a segunda vez que compro e não tenho nada a reclamar, entrega realizada antes do prazo previsto e corretamente. Parabéns!!",1,1
sem problemas. recomendo,1,1
"vou terminar de pagar a mercadoria e não recebi, muito insatisfeito com a compra.",0,0
Onde está meu produto?,0,0
NÃO TENHO NOTÍCIA DO PRODUTO COMPRADO,0,0
Correto com o que eu esperava,1,1
Recebi o produto antes do prazo previsto. Gostei muito do produto. Material resistente e bonito. ,1,1
Otimo,1,1
"Ainda não foi instalado, mas chegou em perfeito estado e no prazo. Obrigado (a)",1,1
excelentes em todos os aspectos; com certeza farei outras compras.,1,1
"Chegou rápido, bem embalado com a nota fiscal. Já estou tomando, tenho endometriose, e este produto foi indicada para meu caso. ",1,1
Os produtos são de ótima qualidade.,1,1
"Os tampos da mesa estavam danificados e aparentemente tentaram pintar com qualquer tinta antes de enviar o que só piorou tudo, acabamento péssimo, lateral do tampo descascando e soltando pedacinho :(",0,0
Conforme vendido eu o recebi ,1,1
"Entrega super rápida e produto de ótima qualidade.
",1,1
"Recomendo a loja, pois cumpriu com o pactuado.",1,1
Não sei como a lannister resolve usar o próprio nome pra vender produtos de um loja tão descompromissada com o cliente. Não respondem o meu e-mail reclamando do atraso e da falta de atenção . ,0,0
"Produto de excelente qualidade , muita linda, exatamente como na foto ! Vem bem embalada , entregue antes do prazo ! Recomendo !👏👏👏",1,1
O produto foi entregue antes do prazo. Ótima compra,1,1
excelente aquisição,1,1
"Não recebi o produto corretamente, foi enviado outro modelo. Não consigo contato com o baratheon e somente contato por e-mail com o parceiro baratheon. Estou no aguardo da resposta.",0,0
"Muito bom de alta qualidade, superou minhas expectativas ",1,1
Gostei muito foi rápido .e vou comprar novamente.,1,1
Esse site é maravilhoso. Eu recomendo ,1,1
"Chegou 1 dia antes, véi em perfeito estado e era melhor do que eu esperava. Recomendo o produto e a loja.",1,1
"Top...
Recebi antes do prazo e ja estou usando...",1,1
Entrega muito rápido,1,1
"Ainda não testei. Mas a embalagem é impecável, tudo separado certinho, vem dentro de uma bolsa compartimentada que me agradou muito.",1,1
"O prazo de entrega do produto já venceu e não tenho retorno do fornecedor, e não consigo mais rastrea-lo. ",0,0
"Solicito a troca do produto pelo pedido correto .
Produto comprado :Capa de máquina lava & seca LG 12Kg PRATA .
Produto recebido : Capa de máquina lava & seca LG 8,5 a 10KG PRATA ",0,0
"recebi no prazo estipulado, quanto ao produto ainda não tive a oportunidade de usar, para externar minha avaliação.",1,1
Bem menor Do que eu esperava mas muito boa ,1,1
Entregue dentro do prazo e inteiro ,1,1
Gostei do relógio. É leve e bonito. ,1,1
Recebi o produto dentro do prazo estipulado com ótimo custo benefício. Recomendo!,1,1
"Produto top pra quem que apaixonado por fazer drinks, recomendo o produto e a loja tbm que entregou no até antes do prazo.",1,1
Recomendo a todos,1,1
Péssima entrega fiz a compra no dia 13/02 e até hoje 18/03 não recebi o produto,0,0
"Veio com atraso e em uma semana quebrou. Entrei em contato com o vendedor para ressarcimento mas o mesmo não autorizou a devolução mas o reparo, mandou email me dando prazo de apenas 2 dias. ",0,0
"Não recebi o produto, vcs dizem que foi entregue dia 21 mas até agora nada, e não consigo contato com ninguém.",0,0
Não chegou. Nada a declarar.,0,1
Produto veio certinho. Tudo ok,1,1
FBFHJJKLI\ZXDAd,0,1
Muito bom o atendimento. Chegou muito rápido. Recomendo!,1,1
"Muito lindo, ficou perfeito na minha cama.
",1,1
Meu produto nao chegou quero q envim pq vai vim cobrqdo na minha fatura e eu nao vou paga pq nao resbe o produti na minha casa qro q enviei meu pedido,0,0
Serviço de primeira eu recomendo,1,1
Excelente.,1,1
Muito obrigada,1,1
"A única coisa que achei desnecessária é que comprei duas toucas e elas vieram em duas embalagens, com entregas em dias diferentes. ",1,0
Gostei! Entrega rápida e produto exatamente como anunciado. Atendeu as minhas expectativas.,1,1
otima compra,1,1
Bom atendimento.,1,1
otimo,1,1
Me surpreendeu porque recebi o produto com antecipação de mais de dez dias do prazo dado para entrega. Só tenho a agradecer a toda equipe muito obrigado e Deus os abençoe .,1,1
Excelente ,1,1
Adoro comprar na lannister.com. Nunca tive problema com as compras. ,1,1
"Recebido, tudo certinho!",1,1
Não recebi as 8 fronhas ainda,0,0
Ótimo produto,1,1
Entregue conforme prometido ,1,1
Um pouco demorado mas dentro de prazo. Tudo ok,1,1
Gostei chegou antes do previsto,1,1
Execelente produto e de preço justo!,1,1
"Comprei para o meu pai, para mim é muito ""cheguei"" pois é muito grande, mas é de coisas assim que ele gosta, ele amou! 😊",1,1
"Porém o produto chegou com cor divergente, comprei uma vermelha mais chegou verde, muito boa a qualidade do produto porém não gostei da cor até mesmo pq meus ontem a de cozinha São todos vermelhos.",1,1
Produto entregue dentro do prazo previsto. ,1,1
Até o presente momento o produto não foi entregue dentro do prazo.,0,1
ótima,1,1
"Adorei comprar com vcs, produto excelente, chegou 10 dias antes do prazo estabelecido",1,1
Não recomendo. ,0,1
"Recebi o produto com muita agilidade e transparência. Chegou até antes do que eu esperava, para minha maior satisfação.",1,1
O produto não é igual como descrito e mandou número maior pedi 38 veio 44 um balão. como vou usar. ,0,1
Recomendo ,1,1
"comprei 2 produtos so veio 1 , falta de respeito com o cliente ",0,0
"O produto demora horrores para ser entregue e ficam reagendando data de entrega e nós ficamos a merce deles sempre que tento em contato sempre cai a ligação, não comprarei nunca mais nessa loja!",0,0
Super rápido a entrega e em ótima consevação,1,1
Excelente ,1,1
"Recebi no prazo, e estou satisfeita. Recomendo o site. ",1,1
Infelizmente comprei a segunda vez pois não vi o nome da loja. Demora muito a entregar e não há comunicação com o cliente. Péssima loja. Não voltaria a comprar e não recomendo a ninguém!,0,0
9,1,1
"Primeira vez que compro pela loja virtual e não me arrependo.
Chegou no prazo.",1,1
Produto muito bom !!!,1,1
"Como está especificado no pedido, solicitei o cadeira branca com lilás e recebo uma nota fiscal com a cadeira branca com roxa, é o produto branco com roxo, então a minha escolha não valeu de nada.... ",0,0
"Parabéns ,o produto tira rico da empresa targaryen chegou normalmente, mas um segundo produto que também comprei não chegou até o momento na minha residência ,uma máquina de corta cabelo também adquirida.",1,0
entrega antes do prazo,1,1
"super recomendo,produto chegou bem antes do combinado",1,1
"BOA LOJA, CUMPRIU TUDO O QUE ESTAVA NO ANUNCIO! A ENTREGA FOI SUPER-RÁPIDO!",1,1
"Estante chegou muito bem embalada e no prazo. Mercadoria conforme anuncio. 
Gostei",1,1
Produto entregue antes do prazo excelente ,1,1
"Entrega bem rápida, produto em belo estado.",1,1
"Pronta entrega, antes do prazo",1,1
Recebi o produto que encomendei dentro do prazo anunciado.,1,1
Péssimo ,0,0
"A toalha q se referem ao piso do banheiro, veio na cor bege e nao8na cor vermelho como está na amostra.",1,0
"Entregaram somente a furadeira, está faltando a maleta como estava descrito na hora de compra. Fiquei muito chateado e fiz uma reclamação.",0,0
Bonito prático super indico ,1,1
Produto excelente,1,1
"Produto chegou bem antes do prazo recomendo essa loja 
 ",1,1
Não recebi o produto e até agora nem mesmo uma ligação de retorno das mensagens que enviei sobre o assunto. Lamentável. ,0,0
bom,1,1
No quesito entrega vocês estão de parabéns. Chegou muito antes do previsto. Pena que o tablet trava muito e o sistema usa muito do espaço interno que já não é lá essas coisas.,0,1
"Encomenda entregue bem antes do prazo, recomendo a todos.",1,1
Busquei no depósito dos correios,0,1
Excedeu as minhas expectativas!!!,1,1
Produto entregue no prazo e conforme descrição.,1,1
"Pedi dois kit veio so um, fora que eu paguei pelos dois ",0,0
Entrega antes do prazo. Produto excelente!!! ,1,1
maravilhoso.,1,1
Entrega antes do prazo!!! Perfeito!!,1,1
Otimo,1,1
"apesar do pacote ter sido fraco e ter se rasgado no transporte, o produto veio correto e sem nenhum estrago, o mais legal foi o tempo em que foi entregue, muito curto.",1,0
"EM UM DOS FRASCOS ESTAVA FALTANDO 20 CAPSULAS, ACHO UM ABSURDO A GENTE COMPRAR UM PRODUTO TÃO CARO E AS PESSOAS TER A CORAGEM DE FAZER ESTE 
TIPO DE SACANAGEM.",0,0
"Muito bom recomendo , foi muito fácil de comprar , fui sendo informada de todo processo da compra e chegou muito rápido bem antes do prazo previsto ...",1,1
recomendo,1,1
"Comprei 2 embalagens de um produto e foi entregue apenas 01, já enviei reclamação por e-mail e estou aguardando retorno.",0,0
"Além do produto chegar errado, a devolução é feita pelo cliente, que tem de ir até uma agência dos Correios que aceite aquele tamanho de encomenda. Muito trabalhoso! Nunca mais.",1,0
"Produto original de ótima qualidade. Pequeno, super delicado.",1,1
"muito satisfeito otima qualidade
",1,1
"Comprei e veio em 3 dias, produto conforme publicado",1,1
"Achei frete muito caro, demorou muito p chegar, queria ter entregue no diados pais. Só chegou terça dia 15",0,0
"Minha opinião é que posso recomendar sem medo de errar agradeço pela entrega até antes do prazo com uma semana de antecedência
",1,1
Muito bom! produto de boa qualidade e entregue no prazo.,1,1
Entregaram quase 10 dias antes do prazo! Muito satisfeito!,1,1
"O PARCEIRO UTILIZA-SE DE MA FE E ENVIA UM PRODUTO COM CONFIGURAÇÃO AQUEM DA OFERECIDA NO ATO DA COMPRA. ESPERO QUE TENHA SIDO SO UM ERRO E QUE SEJA SANADO, CASO NAO SEJA, SOLICITAREI VIA JUDICIAL",0,0
"Parabéns pela pontualidade, produto entregue antes do prazo.",1,1
O produto chegou e estragou sozinho,0,0
bom,1,1
Faz mas de 25 dias uteis que fiz a compra.,0,0
"loja muito responsavel,entrega muito rapido antes da data marcada..",1,1
Entregou o produto errado.,0,0
"sou cliente da lannister há muitos anos, é um site de confiança, sempre respeitou os prazos e os produtos vieram sempre como escolhido, estou muito satisfeito.",1,1
Gostei.,1,1
"Bom atendimento, fácil para comprar, entrega antes do prazo estabelecido.",1,1
Como sempre o produto chegou dentro do prazo e de forma correta.,1,1
Avaliação boa,1,1
muito bom produto e vendedor,1,1
muiyo bom entregue antes do prazo,1,1
"O produto chegou em perfeito estado ,e no prazo 
",1,1
"Estou com meu pedido desde 15/02, ainda não recebi, gostaria de providências. ",0,0
Adoro comprar nas lannister ,1,1
o produto veio pela metade e veio outro produto,0,0
ótimo produto,1,1
"Pela segunda vez que compro uma lixeira de modelo parecido, porem marca e fornecedor diferente e o pedido é cancelado por indisponibilidade, sendo que o produto estava disponível para compra no site.",0,0
Paguei o frete e não recebi o produto em casa tive que retirar no correio e ainda pagar para ser transportado até a minha casa. Ainda mandaram o produto para uma agência do correio em área de risco.,0,0
Descaso com o cliente. O produto não foi entregue.,0,0
"Só uma observação quanto ao frete, é caro! mesmo pra entrega em SP.",1,1
"Muito bom, recomendo!",1,1
Estive peneirando minha pesquisa em jogo de cama de solteiro e 100 % algodão e infelizmente depois de olhar vários acabei escolhendo um que depois de concluir a compra fui verificar que era de casal .,0,0
produto chegou dentro do prazo e em ótimas condições. fiquei bastante satisfeita,1,1
Esperava mais da pintura. Mas minha filha amou.,1,1
Produto perfeito,1,1
"demora na emisão de nota fiscal, e demora na entrega, produto deveria chegar no maximo dia 19/02 , hoje 21/02 produto não chegou a unidade de Recife PE, imagina quando vai chegar em minha casa?
",0,0
"show de bola, entregaram antes do prazo previsto",1,1
"Amei,sem burocracia para comprar,chegou rápido,produto correto,quando precisar de alguma mercadoria vou comprar na baratheon. Obrigada! ",1,1
Produto intacto! Entregue no prazo!,1,1
Recebi em 3 dias muito rápido tudo perfeito parabéns ,1,1
Comprei 2 unidades e só veio 1.,0,0
"Adorei a rapidez com que recebi o produto , só não consegui testar ainda.",1,1
"Bons produto, como o combinado.",1,1
"Produto de material de boa qualidade, porém as partes de metal achei de baixa qualidade, principalmente as parte do prendedor de metal da alça maior. mas nada que comprometa a qualidade da bolsa. ",1,0
Impossível avaliar sem o produto em mãos ,0,0
Produto de qualidade entregue com quase 30 dias de antecedência.,1,1
São dois produtos só recebi um é sem nota,0,0
Super recomendoooo,1,1
ESPERO QUE ME REENVIE!!!!,1,0
Estou aguardando a entrega! Sempre compro nas lannister e nunca tive problemas! Espero não ter ahora!,0,1
Muito bom,1,1
"Comprei num dia recebi no outro
",1,0
"produto bom, leve, forte. Facil utilização.entrega super rápida",1,1
"Excelente produto, mas penso que o livro estava em estoque há muito tempo, assim a embalagem plástica ressecou e a cola da última capa solta...",1,1
"Chegou super rápido de verdade , e recomendo sim a todos que quiserem comprar.",1,1
"produto maravilhoso, embalagem perfeita, prazo entrega perfeita.",1,1
Produtos de qualidade,1,1
Fiquei MT feliz por ter comprado nesse site e de confiança . ,1,1
"Recebi o produto quebrado e sem funcionar. Tentei contato com a empresa, mas não conseguiram localizar meu pedido.",0,0
Nao revebi ate agora,0,0
"Chegou antes do prazo, muito bem embalado, voltarei a comprar com certeza. Em breve.",1,1
Recebi o produto bem embalado e dentro do prazo informado.,1,1
muito prestativo ,1,1
chegou bem antes do prazo.,1,1
"Sei, que não foi entregue no prazo por causa da greve dos caminhoneiros.Obrigada.",1,1
Ótimo produto e recomendo ,1,1
"faz mais de 1 mes que pedi o produto e ate agora nao foi entregue ,e ainda por cima nao dao nenhuma explicao de como fica meu dinheiro
",0,0
"Tudo chegou certinho, só esperava que o massageador fosse mais potente. Vi um vídeo onde parecia uma super massagem e a pele chegava a ficar vermelha mas não chegou a tanto.",1,1
A entrega não foi realizada até o momento.,0,0
Produto de péssima qualidade e acabamento. ,0,0
comprei mesa pra notebook com ordinhas e veio mesa infantil totalmente diferente quero meu produto correto,0,0
"produto entregue fora do praso, devido a falhas do correio, entregue em 18/03
obrigado",0,1
*****,1,1
"Gostei muito, bem embalado e seguro. Entrega rápida . Adorei",1,1
É lindo o produto e com qualidade muito boa,1,1
"Cumpriu o que prometeu no prazo e no produto,recomendo com certeza e pretendo comprar outros produtos ",1,1
"O produto chegou antes do previsto, em bom estado e correto! Parabéns! Linda a Bíblia ",1,1
"PENA QUE O FRETE É MUITO SALGADO , POIS AI COMPRARIAMOS MUITO MAIS !",1,1
Recomendo para outros,1,1
Tenho duvidas da originalidade do produto.,0,1
"Recebi muito antes do prazo, excelente!
",1,1
entrega rápida ...são lindas amei .,1,1
Recebi no prazo certo .Recomendo está loja.,1,1
"Adorei o produto 
Entregue antes do prazo
Satisfeita com a compra
",1,1
"Eu fiz a compra no 23/12/2017 e não no dia 19/01/2018, a empresa não entregou o produto e cancelou o pedido, eu quero agora o estorno do valor pago em cartão de crédito e do valor pago em vale bônus!!",0,0
Comprei um Tablet Qbex e o produto veio com defeito! NÃO CARREGA...,0,0
Embalagem amassada.,1,1
"Não recebi o produto, se até o dia 28/05 não tiver resposta vou procurar o procom",0,0
Muito bom recebi meu produto muito antes do prazo previsto é tudo certo obrigada.,1,1
Nada de chegar o meu pedido.,0,0
"Gostei, recebi a tes do prazo",1,1
Poderia ter agilizado com a entrega! Porém recebi o produto em ótimas condições!,1,1
O produto não está funcionando.,0,0
"Comprei três colchas no mesmo pedido, chegou apenas uma. Não tem um canal de apoio ao cliente adequado.",0,0
LIVRO FICA 2X MAIS DO VALOR VENDIDO PELO AUTOR EM SUA PAGINA,0,0
"Lentes de contato são positivas, para hipermetropia, ou negativas, para miopia. Tenho hipermetropia, preciso de lentes positivas.
Foram entregues lentes negativas. Ninguém me atende para resolver.",0,0
não recomendado,0,1
Produto lindo e de ótima qualidade.,1,1
Excelente produto. Entrega rápida! ,1,1
"Não recebi, passou do prazo, tentei localizar e disse que:o produto tinha saído dos correios de SP,encaminhado a outra agência,e,na outra agência,fui informando que o produto não tinha chagado lá.",0,0
"Um absurdo, não foi entregue",0,0
Entrega no prazo ,1,1
"Comprei a capinha, paguei o frete caro e quando recebo o produto não veio a cor na qual eu havia comprado. Decidi não devolver, pelo custo adicional e demora na entrega do produto correto.",0,0
"toalhas muito finas, qualidade inferior",0,0
"Entrega bem antes do prazo, produto ótimo.
Recomendo",1,1
"Kit de mal qualidade,a tesoura nasça e puxa o cabelo;não gostei.
Fiz pedido de cancelamento mas ainda não me enviaram nenhum email",0,0
"As entregas não deveria ser pelos correios ,o correio na deixa na casa da pessoa ,eles deixam na associação. 
 Então pra mim fica muito ruim.",0,0
"Não posso avaliar, pois ainda não recebi o produto.",0,0
O produto não foi entregue e quero cancelar pelo fato que comprei em outro lugar ,0,0
Gostei de comprar nessa empresa tudo ótimo desde a compra até a entrega obgd,1,1
Não recebi o produto liquid koolbloom,0,0
"Mesmo vindo na voltagem diferente da que eu pedi ,eu aida recomendo o site",1,1
OTIMO PRODUTO,1,1
Estou esperando o produto,0,0
ok,1,1
Infelizmente já comprei muitos produtos mais dessa vez me sinto insatisfeito com a demora da entrega é com a comunicação para resolver esse problema tanto pelo telefone com pela internet.,0,0
Maior controle de estoque.... colocar l produto como indisponível antes do cliente comprar para q não tenhamos todo esse transtorno no cancelamento.,0,0
"Produto chegou com embalagem toda amassada, nota fiscal correta(com 110v), porém, o produto é 220v.",0,0
Tenho comprado algumas vezes neste site e tenho recebido em perfeito estado e antes do tempo previsto.,1,1
"Parabéns . Chegou antes do prazo ,mercadoria ótima surpreendeu minhas expectativas. Ótima pro dia a dia. ",1,1
sim,1,1
Ficou perfeito e chegou antes do prazo.,1,1
"Ainda não recebi o produto e solicitei que a loja verificasse o que ocorreu entre as transferência entre correios e esperei 48 horas e até agora não me deram um retorno,é um presente para Páscoa",0,0
"Tanque de água não tem uma trava quando é posto sobre a base do umidificador, fica solto, vem com uma alça em cima que quando vc pega, vem só a metade do aparelho e se n tomar cuidado derruba a água.",0,0
Bom,1,1
Um dos pneus não deu alinhamento a bandagem está fora de centro só poderei usá-lo como estepe,0,1
Não entregaram o produto e agora estão alegando que há dificuldade na entrega. Uma simples capa de máquina de lavar que deveria ser entregue em um bairro da capital do estado com toda infraestrutura.,0,0
ainda não recebi este produto,0,0
COMPREI DUAS UNIDADES DO PRODUTO E APENAS UMA UNIDADE CHEGOU EM MINHA RESIDÊNCIA. QUERO SABER O QUE ACONTECEU POIS ENTRO EM CONTATO COM A EMPRESA SEM RETORNO,0,0
Vendedor entregou o produto antes do prazo. Recomendo.,1,1
Está faltando 1 unidade e não consegui falar com ninguém a respeito disso. Estarei procurando o Procon ,0,0
"O produto entregue não foi o produto comprado por mim, o pedido foi feito para o Aspirador De Pó Ph Rapid 1000N 127V e foi entregue ASP PO RAPID TURBO PAS02 127V, Desejo devolução do valor pago e reti",0,0
"Parabéns a loja pelo preço, produto é agilidade na entrega.",1,1
Entregue antes do prazo.,1,1
Foi de acordo como eu esperava.,1,1
"Rapida entrega, mesmo sem gqsolina nos postos, recomendo 100%, continuem assim pois estao de parabens",1,1
Tudo dentro do esperado,1,1
"COMO DAR MINHA OPINIÃO?????
NÃO RECEBI O PRODUTO ISSO JÁ É UMA MANEIRA DE SABER QUE ESTOU TOTALMENTE INSATISFEITA E IRRITADA.
QUERO SABER QUAL SERÁ A PROVIDÊNCIA???? ",0,0
otima,1,1
"Gostei muito o produto veio correto, chegou no prazo só poderia ter enviado para uma unidade dos correios mais perto.",1,1
Deu tudo certo ,1,1
"Estou no aguardo do contato da empresa, pois a metragem do tapete veio incorreta.",1,0
obrigada,1,1
Nota zero. Pedimos 3 unidades veio apenas 1 unidade,0,0
"sou cliente faz anos, é a 1ª vez que acontece atraso de entrega de mercadorias",1,0
Não recebi,0,0
"foi entregue no prazo certo , porisso que compro sempre no baratheon empresa super seria . brigada pela atenção",1,1
"Produto chegou no prazo e tudo OK. Recomendo.
Poderiam ter enviado uma cópia da NF junto, pois a mesma foi recebida apenas eletronicamente.",1,1
Entrega antes do prazo. Ótimo custo benefício... atendeu minhas expectativas.,1,1
"Muito bom ,recomendo . Entrega rápida .obrigado ",1,1
Tudo dentro do esperado. ,1,1
"Produto foi entregue bem antes do prazo. Chegou bem condicionado, excelente qualidade de atendimento.",1,1
"Informado que o produto chegaria até dia 19/04, sendo que foi comprado no início de abril. Já é dia 23/04 e nada do meu produto chegar...",0,0
produto entregue conforme prazo,1,1
gostei muito,1,1
recomendo por tudo da avaliaçao.,1,1
"Continuo aguardando o produto e pelo rastreio está preso em Curitiba. Era p ter sido entregue dia 24 e hj dia 27 continua em outro estado.
O frete da lannister é um dos mais caros e o que mais demor",0,0
"Tudo em ordem , posso confiar.",1,1
ÓTIMO PRODUTO,1,1
otima compra entrega rapida,1,1
Bom,1,1
"PRODUTO EXCELENTE ,ALTA QUALIDADE SUPER RESISTENTE!",1,1
"O correio ainda não fez a entrega , to furioso.",0,1
recomendaria,1,1
Não recebi o produto e o prazo acabou ,0,1
Não gostei do tratamento ao cliente faz pouco caso não esto contento com a loja.,0,1
Produto entregue bem antes do prazo previsto,1,1
"Recebi o produto antes do prazo e superou minhas expectativas! Quando compramos pela Internet sempre há um temor de não ser o que estamos vendo, mas foi melhor do que o esperado. Obrigada!",1,1
"O pacote veio super bem embalado e chegou antes do prazo qto a tinta ainda não usei pra saber se dará o efeito desejado, então farei novo comentário no futuro ! ",1,1
"To satisfeito com a rapidez, que o produto foi entrege, não posso avaliar o produto ainda pq eu recebi hj, mais gostei, parabéns pela pontualidade",1,1
Já estou comprando nas lojas online deste do ano passado e estou muito contente muito bem recomendado o meus pedidos sempre chegaram antes do prazo gosto 😍,1,1
